question,answer
What is Skills for Seeing?,"Skills for seeing is one-to-one advice from the Macular Society on how to make best use of the vision you have to continue doing the things you love. Combining vision know-how, magnification, lighting and, where it works for you, ‘eccentric viewing’ and ‘steady eye strategy’ techniques. Sessions can be delivered in a number of ways, at no cost to you.  The service can be provided by trained staff or volunteers on a one-to-one basis, usually over one to three one-hour sessions spread over several weeks.  These sessions are usually delivered in your own home or at a local sight support centre, where available.  If you are interested, please call the Advice and Information Service on 0300 3030 111 ."
Can I registered as sight impaired?,"If you have a permanent visual impairment, you may be eligible to be registered as sight impaired. Being registered often makes it easier to get practical help, and you may qualify for certain benefits.   Registration is voluntary. There are two categories of registration: Sight Impaired and Severely Sight Impaired.  The loss of sight in one eye does not qualify you for registration."
Why should I register as sight impaired?,"Being registered as sight impaired (partially sighted) or severely slight impaired (blind) may entitle you to some additional support, such as:  free NHS sight tests protection under the Equality Act 2010 railcards and other rail or travel concessions local travel services, for example Dial-a-Ride or volunteer car services free 195 Directory Enquiry Service Articles for the Blind free postage service Being registered as Severely Sight Impaired will entitle you to:  blind person’s personal income tax allowance 50% off the television licence fee Automatic entitlement to a Blue Badge parking permit and other local parking schemes"
How do I register as sight impaired?,"In order to register as sight impaired, a hospital consultant Ophthalmologist must examine your eyes to register you. If you are not already attending your local eye clinic, your GP or Optometrist can make a referral."
How is my registration as sight impaired decided?,"The Ophthalmologist will measure your visual acuity (how good you are at seeing detail) and your field of vision (how much you can see from the side of your eye while looking straight ahead). They will look at the combined results to decide whether you’re eligible to be registered as sight impaired or severely sight impaired.  If the ophthalmologist thinks that you are suitable for registration, they will complete a ‘Certificate of Visual Impairment’ (CVI) form (‘A655’ in Northern Ireland, ‘CVI Scotland’ form in Scotland). This form records information about your condition and completes your certification. The register is confidential and held locally, so if you move you will need to re-register."
What is Personal Independent Payment (PIP)?,"Personal Independence Payment is a disability benefit paid to people over the age of 16 but under pension age. The benefit is paid in two parts: Mobility and Daily Living. Both of these are paid at either standard or an enhanced rate. The benefit can be for Mobility or Daily Living at either level, or a combination of both.  To claim PIP the applicant completes a form and has a face-to-face assessment with an independent medical professional. This process establishes whether the applicant meets the criteria to receive an award of PIP."
What is Attendance Allowance (AA)?,"Attendance Allowance is a non-means-tested benefit for people over pension age. This benefit is for those who need help with personal care because of a disability or health problem and is paid by the Department for Work and Pensions (DWP).  There are two payment levels. The lower rate is for people who need support with personal care, day or night. The higher rate is for those who need support with personal care day and night."
Do I qualify for Attendance Allowance (AA)?,"You may qualify for Attendance Allowance if you have had your condition for at least six months and have been present and resident in the UK. If you have been out of the country for periods of longer than four weeks within the last three years may not be entitled to this benefit.  You do not have to be registered as visually impaired to claim AA, but it does help as evidence. Being registered is not a guarantee of qualifying for AA, particularly at partially sight impaired level. You need to cite other conditions too and send as much medical evidence as possible.  You can provide alternative evidence about your sight loss, such as a letter from your consultant or GP."
How do I claim Attendance Allowance (AA)?,"The best way to claim for Attendance Allowance is via post. If successful, your claim is backdated to the date of your application. There are services, such as Age UK,  to help you fill out the form correctly. You are given six weeks to complete it and it takes 8-10 weeks for your application to be processed.  To get a form, contact the Attendance Allowance helpline: 0800 731 0122 "
How to appeal my Attendance Allowance (AA) claim?,"If your claim for Attendance Allowance is rejected, you do have the option to appeal this decision. Instructions on how to do so will come with the decision letter of your initial claim.  It is best if you do choose to appeal, to get help with this from the relevant services, such as Age UK."
Can I get Welfare benefits?,"Depending on your circumstances, you may be entitled to financial support from the government. Welfare benefits are available to help those living with macular disease, and their families, with extra costs."
What is Personal Independence Payment (PIP)?,"Personal Independence Payment (PIP) is a benefit paid to people to pay for the additional costs of a disability or long term illness. PIP was introduced 2013 to replace Disability Living Allowance (DLA). You can no longer apply for DLA over the age of 16 and anyone receiving DLA will be moved across onto PIP. For children under the age of 16 the DLA is still in place.  PIP is paid by DWP once every 4 weeks directly into your bank account. It is a non-income related benefit which means that you could be entitled to PIP if you for fill the criteria. It does not relate to any other household income, which may include: wages, pensions, savings or any other welfare benefit. Like DLA, PIP is made from 2 components, Daily Living and Mobility. Each component has 2 award levels, standard and enhanced. Claimants can be awarded a combination of both components at either level depending how you are assessed during your application. The assessment is based around a set of descriptors, which award points toward each component, to obtain the standard rate you need to score 8 points and for the enhanced rate, 12 points.  PIP is awarded for set periods of time, at the end of which you will be re-assessed."
How to apply for Personal Independence Payment (PIP)?,"To apply for Personal Independence Payment (PIP) call the PIP Claim line on: 0800 917 2222. As part of this call DWP will ask you for some personal details which you will need to have ready when you make the call, these are, National Insurance number, name and address of your GP and bank account details.  DWP will send you a PIP 2 form, ‘How does your disability affect you?’ which needs to be returned to DWP within 28 days. However, you can request additional time if required. It is important that you return the form within the specified time otherwise your claim could stop.  As part of this call you are able to request any further communication in large print including the application form. DWP are also able to keep you up to date with your application via text message.  "
What is Disability Living Allowance (DLA)?,"Disability Living Allowance (DLA) is to pay for the additional costs of your child’s long term health condition or disability. The benefit is split in to two parts, Mobility and Care or a combination of the two and is paid for your child up to the age of 16 years old.  The Mobility component is paid at two levels dependant on your child mobility needs. The Care component is paid at 3 levels, low, middle and high depending on the additional support your child requires due to their long term health condition or disability. "
Who is eligible for Disability Living Allowance (DLA)?,"DLA is paid for children under the age of 16. The claim can be made by parents, carers or guardians, foster parents and older siblings who have caring responsibilities for the child.  The benefit considers the additional needs of the child compared with where you would expect a child of average health to be developmentally as well as how their long term condition or disability effects them.  The Mobility component can be paid from the age of 3 and the Care component from when the additional needs of the child become apparent. There are different rules if the child is considered to have a terminal illness.  The claim will come to an end as the child turns 16, where they will be invited to apply for Personal Independence Payment.  Disability Living Allowance is non means tested, so parents or guardian’s incomes are disregarded as well as any savings that the child has. The child must also not be under any immigration restrictions."
How to apply for Disability Living Allowance (DLA)?,"Disability Living Allowance (DLA) is a benefit that is paid for young people under the age of 16, the application is considered on a paper based assessment, there is usually no face to face medical assessment. There are two different ways of making an application for DLA you can either download a DLA pack from the gov.uk website or call the DLA Claim Line on 0800 121 4600. If you call the DLA claim Line you will be sent a pack to complete which if you return the completed form to DWP within 6 weeks you will receive a back date, if your claim is successful, to the date you requested the form.  When completing the application enclose as much medical evidence of the child’s condition or disability as you can. This can include a certificate of visual impairment, hospital medical assessments, information from QTVI’s and any other relevant documentation regarding the child’s development, condition or disability."
What kind of work can I do?,"The job market is open to people with sight loss, but having macular disease will restrict the kind of work you are able to do. Some jobs will not be possible to do with sight loss. However, there is plenty of scope and with the technology available today, there are many opportunities for people with sight loss. If you have the right skills and relevant experience for a role, sight loss may be less of a barrier."
What is Access to Work (ATW)?,"Access to Work (ATW) is a government scheme run by Job Centre Plus. The scheme supports people with disabilities and long-term conditions in the work place. ATW gives a discretionary award to support disabled employees with:  specialist equipment support workers travel to work The scheme can also fund advice for employers and training to colleagues in how to be work with someone with a disability and in some instances, ATW can also fund communication support for job interviews.  "
Who is eligible for  Access to Work (ATW)?,ATW is available to people with a disability that has an expectation of lasting at least 12 months. The disabled applicant must be employed or about to start paid employment. The job can be permanent or temporary and there are no minimum hours that the applicant needs to work to entitle them to the scheme. The disabled persons condition must be expected to be ongoing for at least 12 months.
How to apply for Access to Work (ATW)?,"If you are starting a new job or changing roles within your workplace you may be entitled to Access to Work (ATW). If your health condition changes whilst in your current position and this change is impacting on how you are able to carry out your responsibilities, you also may be entitled to make a claim.  To make a claim for ATW, contact Job Centre Plus on 0800 121 7479. You should make a claim:  as soon as you know when your start date is if there is a change in your macular disease which is impacting on your work if you are changing job roles The advisor will need to know your name, national insurance number and employer’s details including the name of your line manager. If you are starting a new job the advisor will also need to know your approximate start date. You should apply for ATW as soon as you know the date you are going to start as this will help get the support you require in place more quickly.  The advisor will need a job description as this will help them determine how ATW could best support you within your role. It is a good idea to think about your work responsibilities and where you may struggle to complete these tasks without the support of specialist equipment, a support worker or any other adjustments. You should also consider how you are able to get to and from work. People with Macular Disease could be able to use the ‘Travel to Work’ part of the scheme and if travel is required as part of their role they may be entitled to us the ‘Travel in Work’ scheme."
What support does Access to Work provide?,The Access to Work (ATW) scheme may pay for equipment and any other support considered more than a reasonable adjustment for your employer.  The scheme covers all aspects of employment in order to support a disabled person to be effective in the work place. After an assessment a person with macular disease could be offered the following support:  Specialist Software Magnifiers Support Workers Travel in Work Travel to Work Training for the applicant Work place assessment and training for the employer
How much is the Access to Work Grant?,"Access to Work can pay up to 100% of the approved costs of the claim. This depends on how long you have been employed, what support is required or whether you are self-employed. These costs are for:  Unemployed people starting a job All self-employed people Employers with less than 10 staff People working for an employer with more than 10 staff but who have been in the job for less than 6 weeks People changing jobs with a new employer The costs include:  Support Workers Communicator support at a job interview Travel to work Access to Work pay a proportion of the cost for adaptions and specialist equipment for people who have been employed for 6 weeks or more. The cost are shared with the employer as follows:  Less than 50 staff ATW can pay up to 100% of the costs. 50 – 249 staff ATW can pay up to 80% of costs after the first £500 and up to £10,000. 250 staff or more ATW can pay up to 80% of the costs above the first £1000 and up to £10,000. Access to Work grants are in line to rise at the same rate as the average salary, if the cap is reached this is likely to impact Support Worker costs and the costs of travel to and from work. In all cases ATW will explore additional contributions from the employer."
How long does an Access to Work claim last?,An Access to Work grant can last up to 3 years. At the end of the award period you will be asked to make a new claim. This is taken as complete renewal and will be assessed as such. This can be used as an opportunity to update equipment and to review Support Worker costs.
How can I read if I have macular disease?,"Macular disease can make it more difficult to read. As your vision gets worse, reading can become frustrating. However, with a few adjustments you can continue to read. The macula needs good light to be able to work, therefore improving the light on the page that you are trying to read can make it easier to see. A low vision assessment will help you to select the most suitable magnifiers and train you to use them. You may need different magnifiers for different activities. Large print products and reading materials are available both through your local sight-loss organisation and online. These products will support you to continue reading. As reading becomes more difficult, literature in audio format is a good alternative to reading.Typoscopes are simple but useful tools. They are often made of black card or plastic with holes cut in them to act as a guide when reading or writing. A credit card sized version of this, called a signature guide, is very useful for signing cheques and documents. "
How can I write if I have macular disease?,"Macular disease can make it difficult to read your own or someone else’s handwriting; consider the following suggestions to make writing easier:  Handwriting Choose paper with a matt finish as this will reduce glare from the page. Yellow or different coloured paper can create good colour contrast. Use a black fibre-tipped pen - these come in various thicknesses. You may find you need to increase the thickness of your pen as your macular disease progresses. It is best not to use joined-up handwriting as this can be hard to read, especially when magnified. Writing on a computer or other device Digital devices have become more accessible and are being used by people with macular disease. People are using these devices to send emails, text messages and to browse the internet. These devices can be adapted to make images/text easier to see/read:  Choose a plain and clear font such as Arial. Avoid making text bold, italic or underlined. This can make it harder to read. Set margins to the left and justify the text. Justifying text makes it easier to track when using a magnifier. Don’t write sentences in block capitals - using lowercase makes the text easier to track. Where possible do not use columns as this makes reading documents with a magnifier slower."
How can I prepare food?,"It does not matter whether you are preparing food or making a cup of tea; using the principle of big, bright and bold will make this easier to do with macular disease. The colour contrast is key as it will make everything stand out more. There are many items that you can buy from the high street to help you continue cooking. Use different coloured chopping boards: for example, it can be hard to see a tomato on a red chopping board - using a white chopping board to slice tomatoes makes them easier to see, with the contrast of red on white. Sharp knives: try to keep knives sharp as they will cut through food more easily, and are less likely to bounce off a bone or slip and cut you. Use a bigger knife and keep the tip of the knife on the chopping board as this allows more control over the blade. Using brightly coloured cooking utensils will help you find them more quickly when you put them down on the worktop. Add brightly coloured tape to utensils you already have to create additional contrast. Pots and pans are widely available in bright colours, which can make them stand out on the hob. Try to buy pans with glass lids as this reduces the number of times you need to take the lid off to see if the food is cooking. Buy a chip pan, but not for cooking chips - put vegetables in the basket and top up with water. When the vegetables are cooked, you can lift them out all at once. "
Which kitchen gadgets can help me prepare food?,"Macular disease makes reading kitchen gadgets difficult; there are many different adapted small kitchen gadgets for people with sight loss.  Kitchen scales are available both as talking scales and in large print. Measuring jugs are available in large print. Liquid level indicator: this device hangs over the edge of your mug or glass and will beep and vibrate when the liquid touches the sensor. Bump-ons: these are small raised dots, which can be placed around the kitchen. They could be used for example to indicate a specific temperature on the oven, or time on your microwave. Talking microwaves are very useful if you are unable to see the dials or display on a microwave. RNIB Penfriend is a handheld device, which reads out your own audio labels. Stick an audio label onto items such as jars of spices, tins and condiments; you can then record what that item is onto the device. Use the Penfriend to tap the label and it will repeat back to you what that item is. Hot water dispenser: the size of a standard kettle which dispenses one mug of boiling water at a time."
How can I improve my kitchen?,"There are some other changes you can make to make life easier in the kitchen.  Increase the lighting in your kitchen. Making it brighter will make everything easier to see. Your local sensory support team will be able to advise you on this. Lighting underneath top cupboards will brighten the worktops. When you are preparing food you cast a shadow, and these lights help with this. A task lamp will also help with this. Put coloured tape on the inside of your kitchen cupboard doors as this creates colour contrast. This hopefully will make it less likely that you will walk into them."
How can I make eating and drinking easier?,"You have prepared yourself a lovely meal, and now it’s time to sit down and eat. There are a few things you can do to make this easier with macular disease.  Try to eat somewhere in good light. Good lighting will make the food that you are eating stand out on your plate. Create good colour contrast between the table and your crockery. You could use a different coloured tablecloth or place mat. Coloured glasses and different coloured coasters can also help create good colour contrast. Locate your glass with your hand near the table; if you misjudge the distance, you are less likely to knock it over. It may be necessary on occasion for someone to point out where the food is on your plate; using a clock face to describe where things are can be very helpful. "
How can I do my personal care?,"It can be very difficult identifying the items you need day to day to look after yourself, such as shampoo or soap.  By putting different brightly coloured tape around shampoo and conditioner bottles, it makes them easier to tell apart.  Similarly, buying soap that is a different colour to your soap dish and a brightly coloured toothbrush will help make them stand out against the background of your bathroom.  Try applying toothpaste directly to your tongue to avoid missing the toothbrush when brushing your teeth.  Smart showers can connect to your smart speaker, meaning you can turn the shower on and off and change the temperature using your voice.  To ensure you can get in and out of the bath or shower safely, buy a brightly coloured non-slip bathmat.  You can peg your shoes together, and buy socks all the same colour, so you’ll know that they always match. When it comes to clothing, you could sew a different shaped button for each colour on the inside tags so it’s easier to differentiate between similar colours such as black and navy blue.  Smartphone apps can be used to help identify different coloured items of clothing and help put outfits together. Some can connect you to another person who can help to identify items using the camera.  A small torch or spotlights inside your wardrobe will help you to identify items of clothing much more easily."
How can I make the most of natural daylight?,"Make the most of natural daylight, while controlling glare.  Open curtains wide and keep windows clean. Remove net curtains. Use vertical blinds, not horizontal. They’re easier to control light levels and enable you to change the direction of light coming into the room. Roller blinds can help you control the amount of light coming in and prevent it shining in your eyes. Blue blocker filter lenses in glasses can improve contrast and reduce glare. "
How can task lighting help me?,"Effective task lighting can really help. It can:  be helpful in the kitchen. Under-cupboard lighting can be very effective for lighting work surfaces make reading easier by improving the contrast of text on the page make it easier to identify colours help to break through mistiness in vision reduce the amount of magnification needed. Task lamps need to be positioned below eye level, shining onto the task, not into your eyes.  They should be stable to avoid getting knocked over, and bulbs should stay cool to avoid discomfort or even burning yourself."
What type of task lamp should I buy?,"When buying a task lamp consider:  What activities do you want it for? Would a table-top, floor-standing or wall-mounted one be best? How easy is it to adjust its position to get the light where you need it? Does the shade stop the light shining directly into your eyes when the lamp is positioned below eye level?"
